Language,Translation,Filename,DriveID,Script,Source
afrikaans,How are you?,Afrikaans_HowAreYou.mp3,148n0kW4Fi0zt0B5QUXsCCg2psLAfyrTG,Hoe gaan dit met jou? (inf),https://omniglot.com/soundfiles/
albanian,Long time no see,Albanian_longtimenosee_sq-gheg.mp3,1wk_QcrL7Ad875qt-piq5Dnk00nQbaXm0,Ka shum koh qê s'jemi pâ,https://omniglot.com/soundfiles/
amharic,Where are you from?,Amharic_wherefrom1_am.mp3,1OFWsJZEqU7Z8XSKMdzT1IuoqZRWSV5Ul,እርስዎ ከየት ኖት፧ (ərswo käyät not?) frm,https://omniglot.com/soundfiles/
arabic,Good afternoon,Arabic_goodafternoon_ar.mp3,1uzpka3IuM4lVXSdcBNN_GpAYLQcTVPMR,(masā' al-khayr) مساء الخير,https://omniglot.com/soundfiles/
armenian,Have a nice day!,Armenian_haveaniceday_ar.mp3,1EH_tEyR1hOyiZYQaSpptqNNmEguO9hn4,մաղտընեն լավ օր (Maghtynen lav or),https://omniglot.com/soundfiles/
azerbaijani,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,azerbaijani_udhr_azturk.mp3,19e7L1vTrXe54rEyTwBrBSv3JjkAjD0uM,Bütün insanlar azad və ləyaqət və hüquqlara bərabər olaraq doğulurlar. Onlara ağıl və vicdan bəxş edilmişdir və bir-birlərinə qardaşlıq ruhunda davranmalıdırlar.,https://omniglot.com/soundfiles/
basque,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,basque_udhr_eu.mp3,13nt-6amd09rjJ98v6pqxYdHMUy9uwWJO,"Gizon-emakume guztiak aske jaiotzen dira, duintasun eta eskubide berberak dituztela; eta ezaguera eta kontzientzia dutenez gero, elkarren artean senide legez jokatu beharra dute.",https://omniglot.com/soundfiles/
bengali,What's your name?,Bengali_name2_bn.mp3,1QCtVvWnK1VIQCgJw-rwz157XUfg7O99D,তোমার নাম কি? (Tomar nam ki?) - inf,https://omniglot.com/soundfiles/
bosnian,Thank you,Bosnian_thanks_bo.mp3,1XVmn77wJeHc8uCYulNrbtDkT1lEQQ60S,Hvala,https://omniglot.com/soundfiles/
bulgarian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,bulgarian_udhr_bg.mp3,1Eg1v1UKV-gWEQSq1iY_cdMO7S_kLJzWL,Всички хора се раждат свободни и равни по достойнство и права. Те са надарени с разум и съвест и трябва да действат един към друг в дух на братство.,https://omniglot.com/soundfiles/
burmese,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,burmese_udhr_burmese.mp3,1LPGTo2qnzCExwjYszjJqiLYZlUmLM345,လူတိုင်းသည် တူညီ လွတ်လပ်သော ဂုဏ်သိက္ခာဖြင့် လည်းကောင်း၊ တူညီလွတ်လပ်သော အခွင့်အရေးများဖြင့် လည်းကောင်း၊ မွေးဖွားလာသူများ ဖြစ်သည်။ ထိုသူတို့၌ ပိုင်းခြား ဝေဖန်တတ်သော ဉာဏ်နှင့် ကျင့်ဝတ် သိတတ်သော စိတ်တို့ရှိကြ၍ ထိုသူတို့သည် အချင်းချင်း မေတ္တာထား၍ ဆက်ဆံကျင့်သုံးသင့်၏။,https://omniglot.com/soundfiles/
cantonese,Please say that again,Cantonese_could_you_repeat_that.mp3,1vOOeFwXPwUGv94YkvZG9Etf1HaldHnky," 唔該你講多一次吖? (m̀hgòi néih góng dō yātchi a)
",https://omniglot.com/soundfiles/
catalonian,All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,catalonian_udhr_catalan.mp3,1c2-PyNyE6KnN4yLRA79_ZKMQx7_QQQyb,Tots els éssers humans neixen lliures i iguals en dignitat i drets. Estan dotats de raó i consciència i han d’actuar els uns amb els altres amb esperit de germanor.,https://omniglot.com/soundfiles/
